立委,行程日期,開始時間（選填）,結束時間（選填）,行程分類,行程名稱,行程敘述（選填）,相關連結（選填）,行程地點,geocode,lat,lon,媒體類型（選填）,媒體連結（選填）
洪慈庸,2017-01-30,9:00:00,,媒體公關,紅包發放拜年行程,,,后里鎮安宮,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""42號"",
               ""short_name"" : ""42號"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""三光路"",
               ""short_name"" : ""三光路"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""后里區"",
               ""short_name"" : ""后里區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""台中市"",
               ""short_name"" : ""台中市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""421"",
               ""short_name"" : ""421"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""421台灣台中市后里區三光路42號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 24.305876,
               ""lng"" : 120.7111359
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 24.3072249802915,
                  ""lng"" : 120.7124848802915
               },
               ""southwest"" : {
                  ""lat"" : 24.3045270197085,
                  ""lng"" : 120.7097869197085
               }
            }
         },
         ""place_id"" : ""ChIJ687JTXUQaTQRFj3GrIbMvD4"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",24.305876,120.7111359,,
洪慈庸,2017-01-29,8:50:00,,媒體公關,紅包發放拜年行程,,,潭子潭水亭觀音廟,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""89"",
               ""short_name"" : ""89"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""潭陽村復興路二段"",
               ""short_name"" : ""潭陽村復興路二段"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""潭子區"",
               ""short_name"" : ""潭子區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""臺中市"",
               ""short_name"" : ""臺中市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""427"",
               ""short_name"" : ""427"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""427台灣臺中市潭子區潭陽村復興路二段89號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 24.210263,
               ""lng"" : 120.707684
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 24.2116119802915,
                  ""lng"" : 120.7090329802915
               },
               ""southwest"" : {
                  ""lat"" : 24.20891401970849,
                  ""lng"" : 120.7063350197085
               }
            }
         },
         ""place_id"" : ""ChIJbcYgtnwXaTQRmW-8gSds_jw"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",24.210263,120.707684,,
洪慈庸,2017-01-29,10:20:00,,媒體公關,紅包發放拜年行程,,,大雅永興宮,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""37號"",
               ""short_name"" : ""37號"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""大雅路"",
               ""short_name"" : ""大雅路"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""大雅區"",
               ""short_name"" : ""大雅區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""台中市"",
               ""short_name"" : ""台中市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""428"",
               ""short_name"" : ""428"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""428台灣台中市大雅區大雅路37號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 24.2240115,
               ""lng"" : 120.6489463
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 24.2253604802915,
                  ""lng"" : 120.6502952802915
               },
               ""southwest"" : {
                  ""lat"" : 24.2226625197085,
                  ""lng"" : 120.6475973197085
               }
            }
         },
         ""place_id"" : ""ChIJHw8d_u0WaTQRrMX-i_d0cnI"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",24.2240115,120.6489463,,
洪慈庸,2017-01-29,11:10:00,,媒體公關,紅包發放拜年行程,,,神岡社口萬興宮,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""337"",
               ""short_name"" : ""337"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""昌平路五段"",
               ""short_name"" : ""昌平路五段"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""神岡區"",
               ""short_name"" : ""神岡區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""台中市"",
               ""short_name"" : ""台中市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""429"",
               ""short_name"" : ""429"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""429台灣台中市神岡區昌平路五段337號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 24.2452517,
               ""lng"" : 120.6839661
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 24.2466006802915,
                  ""lng"" : 120.6853150802915
               },
               ""southwest"" : {
                  ""lat"" : 24.24390271970849,
                  ""lng"" : 120.6826171197085
               }
            }
         },
         ""place_id"" : ""ChIJu1oHhzQXaTQRY9a1jW4b3yw"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",24.2452517,120.6839661,,
洪慈庸,2017-01-29,12:00:00,,媒體公關,紅包發放拜年行程,,,神岡大明宮,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""96號"",
               ""short_name"" : ""96號"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""神洲路159巷"",
               ""short_name"" : ""神洲路159巷"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""神岡區"",
               ""short_name"" : ""神岡區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""台中市"",
               ""short_name"" : ""台中市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""429"",
               ""short_name"" : ""429"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""429台灣台中市神岡區神洲路159巷96號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 24.2673992,
               ""lng"" : 120.7019063
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 24.2687481802915,
                  ""lng"" : 120.7032552802915
               },
               ""southwest"" : {
                  ""lat"" : 24.2660502197085,
                  ""lng"" : 120.7005573197085
               }
            }
         },
         ""place_id"" : ""ChIJVSPoYZkQaTQRSlqn8xp2k4s"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",24.2673992,120.7019063,,
洪慈庸,2017-01-28,8:00:00,,媒體公關,紅包發放拜年行程,,,潭子頭家厝得天宮,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""潭子區"",
               ""short_name"" : ""潭子區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""台中市"",
               ""short_name"" : ""台中市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""427"",
               ""short_name"" : ""427"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""427台灣台中市潭子區"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 24.1954599,
               ""lng"" : 120.700826
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 24.1968088802915,
                  ""lng"" : 120.7021749802915
               },
               ""southwest"" : {
                  ""lat"" : 24.1941109197085,
                  ""lng"" : 120.6994770197085
               }
            }
         },
         ""place_id"" : ""ChIJgTYasoQXaTQRe4j7G55dRVk"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",24.1954599,120.700826,,
洪慈庸,2017-01-28,8:50:00,,媒體公關,紅包發放拜年行程,,,神岡豐洲寮福宮,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""77"",
               ""short_name"" : ""77"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""前寮路"",
               ""short_name"" : ""前寮路"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""神岡區"",
               ""short_name"" : ""神岡區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""台中市"",
               ""short_name"" : ""台中市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""429"",
               ""short_name"" : ""429"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""429台灣台中市神岡區前寮路77號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 24.258179,
               ""lng"" : 120.700512
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 24.2595279802915,
                  ""lng"" : 120.7018609802915
               },
               ""southwest"" : {
                  ""lat"" : 24.2568300197085,
                  ""lng"" : 120.6991630197085
               }
            }
         },
         ""place_id"" : ""ChIJ15My06QQaTQRYdfZx7wKd9s"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",24.258179,120.700512,,
洪慈庸,2017-01-28,9:30:00,,媒體公關,紅包發放拜年行程,,,后里后義宮,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""17之3號"",
               ""short_name"" : ""17之3號"",
               ""types"" : [ ""street_number"" ]
            },
            {
               ""long_name"" : ""梅里路"",
               ""short_name"" : ""梅里路"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""后里區"",
               ""short_name"" : ""后里區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""台中市"",
               ""short_name"" : ""台中市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""421"",
               ""short_name"" : ""421"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""421台灣台中市后里區梅里路17之3號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 24.3082615,
               ""lng"" : 120.7313294
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 24.3096104802915,
                  ""lng"" : 120.7326783802915
               },
               ""southwest"" : {
                  ""lat"" : 24.3069125197085,
                  ""lng"" : 120.7299804197085
               }
            }
         },
         ""place_id"" : ""ChIJzX2DIrkaaTQRXdtwOHhbDZM"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",24.3082615,120.7313294,,
洪慈庸,2017-01-28,10:30:00,,媒體公關,紅包發放拜年行程,,,后里月眉慈賢宮,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""421"",
               ""short_name"" : ""421"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""421台灣后里區雲頭路公會巷9號"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 24.321103,
               ""lng"" : 120.701746
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 24.3224519802915,
                  ""lng"" : 120.7030949802915
               },
               ""southwest"" : {
                  ""lat"" : 24.3197540197085,
                  ""lng"" : 120.7003970197085
               }
            }
         },
         ""place_id"" : ""ChIJoXWsIwUQaTQRYrUL6oqXjHM"",
         ""types"" : [ ""establishment"", ""point_of_interest"" ]
      },
      {
         ""address_components"" : [
            {
               ""long_name"" : ""西屯區"",
               ""short_name"" : ""西屯區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""台中市"",
               ""short_name"" : ""台中市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""407"",
               ""short_name"" : ""407"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""407台灣台中市西屯區"",
         ""geometry"" : {
            ""location"" : {
               ""lat"" : 24.170802,
               ""lng"" : 120.6237519
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 24.1721509802915,
                  ""lng"" : 120.6251008802915
               },
               ""southwest"" : {
                  ""lat"" : 24.1694530197085,
                  ""lng"" : 120.6224029197085
               }
            }
         },
         ""place_id"" : ""ChIJt8uGnP49aTQRj9_9JbI__5U"",
         ""types"" : [ ""establishment"", ""place_of_worship"", ""point_of_interest"" ]
      }
   ],
   ""status"" : ""OK""
}
",24.321103,120.701746,,
洪慈庸,2017-01-24,,,地方事務,拜訪「惠明盲校」,與林全院長、林佳龍市長、徐永明委員及衛福部的夥伴們一起來到大雅區的「惠明盲校」。,,大雅區,"{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""大雅區"",
               ""short_name"" : ""大雅區"",
               ""types"" : [ ""administrative_area_level_3"", ""political"" ]
            },
            {
               ""long_name"" : ""台中市"",
               ""short_name"" : ""台中市"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""台灣"",
               ""short_name"" : ""TW"",
               ""types"" : [ ""country"", ""political"" ]
            }
         ],
         ""formatted_address"" : ""台灣台中市大雅區"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 24.2591569,
                  ""lng"" : 120.6827615
               },
               ""southwest"" : {
                  ""lat"" : 24.2015261,
                  ""lng"" : 120.5963838
               }
            },
            ""location"" : {
               ""lat"" : 24.2225023,
               ""lng"" : 120.6545022
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 24.2591569,
                  ""lng"" : 120.6827615
               },
               ""southwest"" : {
                  ""lat"" : 24.2015261,
                  ""lng"" : 120.5963838
               }
            }
         },
         ""place_id"" : ""ChIJe2L-mpMWaTQRit__DGSe_Yg"",
         ""types"" : [ ""administrative_area_level_3"", ""political"" ]
      }
   ],
   ""status"" : ""OK""
}
",24.2225023,120.6545022,,
